SN,Site,Treatment,Alive,StartIncludeUTC,EndIncludeUTC,TransectLocation.m,Location,Code,Fielddeath,timeofdeath
SN230,DeAnza,Oyster,Alive,5/20/2023 12:31,6/19/2023 12:15:00,4.3,2,D.O.2.1037,No,
SN188,DeAnza,Oyster,Alive,4/21/2023 13:40,6/19/2023 12:15:00,4.1,1,D.O.1.1100,No,
SN119,PCH,Eelgrass,Dead,7/30/2022 12:30,12/21/2022 21:22:00,2.9,2,P.E.2.1074,No,
SN137,PCH,Eelgrass,Dead,7/30/2022 12:30,12/21/2022 21:22:00,1.6,1,P.E.1.1073,Yes,8/26/2022 18:58:00
SN185,PCH,Eelgrass,Dead,7/30/2022 12:30,12/21/2022 21:22:00,7.1,5,P.E.5.1076,Yes,8/21/2022 0:00:00
SN116,PCH,Eelgrass,Dead,7/30/2022 12:30,12/21/2022 21:22:00,6.7,4,P.E.4.1077,Yes,10/5/2022 10:14:00
SN122,PCH,Eelgrass,Dead,7/30/2022 12:30,1/20/2023 20:45:00,3.7,3,P.E.3.1075,Yes,
SN137,PCH,Eelgrass,Alive,12/22/2022 23:27,1/20/2023 20:50,2.9,2,P.E.2.1074,No,
SN205,PCH,Eelgrass,Alive,12/21/2022 21:22,2/20/2023 22:12,1.6,1,P.E.1.1078,No,
SN122,PCH,Eelgrass,Alive,1/20/2023 20:50,6/19/2023 11:10:00,2.9,2,P.E.2.1074,No,
SN123,PCH,Eelgrass,Alive,2/20/2023 22:12,6/19/2023 11:10:00,1.6,1,P.E.1.1078,No,
SN110,PCH,Eelgrass,Alive,1/20/2023 21:23,6/19/2023 11:10:00,3.7,3,P.E.3.1079,No,
SN148,PCH,Mud,Alive,7/30/2022 12:20,8/12/2022 13:50:00,2.6,2,P.M.2.1070,No,
SN144,PCH,Mud,Alive,7/30/2022 12:20,10/28/2022 1:30:00,7.2,5,P.M.5.1067,No,
SN159,PCH,Mud,Alive,7/30/2022 12:20,10/28/2022 1:30:00,6.2,4,P.M.4.1068,No,
SN110,PCH,Mud,Dead,7/30/2022 12:20,10/28/2022 1:30:00,3.1,3,P.M.3.1069,No,
SN133,PCH,Mud,Alive,7/30/2022 12:20,10/28/2022 1:30:00,1.5,1,P.M.1.1071,No,
SN117,PCH,Mud,Dead,8/12/2022 13:50,10/28/2022 1:30:00,3.1,3,P.M.3.1069,Yes,10/23/2022 21:21:00
SN146,PCH,Mud,Dead,8/12/2022 13:50,10/28/2022 1:30:00,2.6,2,P.M.2.1070,Yes,10/16/2022 13:02:00
SN131,PCH,Mud,Alive,12/21/2022 23:11,1/20/2023 22:35,6.2,3,P.M.4.1068,No,
SN209,PCH,Mud,Alive,12/21/2022 23:11,2/20/2023 23:33,2.5,1,P.M.5.1067,No,
SN197,PCH,Mud,Alive,12/21/2022 23:11,2/20/2023 23:42,4.9,2,P.M.2.1072,No,
SN183,PCH,Mud,Dead,2/20/2023 23:33,4/20/2023 11:45:00,2.5,1,P.M.5.1067,Yes,8/9/2022 0:00:00
SN126,PCH,Mud,Dead,2/20/2023 23:42,4/20/2023 11:57:00,4.9,2,P.M.2.1072,Yes,2/11/2023 6:00:00
SN203,PCH,Mud,Alive,4/20/2023 12:04,5/19/2023 12:32:00,2.5,1,P.M.1.1097,No,
SN226,PCH,Mud,Alive,1/20/2023 22:35,6/19/2023 11:31:00,6.2,3,P.M.4.1068,No,
SN219,PCH,Mud,Alive,5/19/2023 12:32:00,6/19/2023 11:31:00,2.5,1,P.M.1.1097,No,
SN158,PCH,Mud,Alive,4/20/2023 12:04,6/19/2023 11:31:00,4.9,2,P.M.2.1098,No,
SN193,PCH,Oyster,Dead,7/30/2022 12:15,10/26/2022 22:30:00,1.9,1,P.O.1.1057,No,
SN157,PCH,Oyster,Alive,7/30/2022 12:15,10/26/2022 22:30:00,6.1,5,P.O.5.1063,No,
SN118,PCH,Oyster,Dead,7/30/2022 12:15,10/26/2022 22:30:00,2.8,3,P.O.3.1059,Yes,8/8/2022 14:42:00
SN161,PCH,Oyster,Dead,7/30/2022 12:15,10/26/2022 22:30:00,4.7,4,P.O.4.1062,Yes,8/14/2022 13:08:00
SN187,PCH,Oyster,Dead,7/30/2022 12:15,10/26/2022 22:39:00,2.6,2,P.O.2.1060,No,
SN121,PCH,Oyster,Dead,10/26/2022 22:30,12/21/2022 21:35:00,1.9,1,P.O.1.1058,No,
SN200,PCH,Oyster,Dead,10/26/2022 22:42,12/21/2022 21:35:00,6.1,5,P.O.5.1063,No,
SN147,PCH,Oyster,Dead,10/26/2022 22:39,12/21/2022 21:35:00,2.6,2,P.O.2.1061,Yes,12/21/2022 21:35:00
SN174,PCH,Oyster,Alive,12/21/2022 22:03,4/20/2023 11:16,2.6,2,P.O.2.1066,No,
SN219,PCH,Oyster,Alive,12/21/2022 21:35,5/19/2023 11:30:00,1.9,1,P.O.1.1064,No,
SN186,PCH,Oyster,Alive,4/20/2023 11:17,5/19/2023 11:33:00,2.6,2,P.O.2.1066,No,
SN202,PCH,Oyster,Alive,12/21/2022 21:35,6/19/2023 11:20:00,6.1,5,P.O.5.1065,No,
SN103,PCH,Oyster,Dead,5/19/2023 11:33:00,6/19/2023 11:20:00,2.6,2,P.O.2.1066,Yes,6/19/2023 11:20:00
SN227,PCH,Oyster,Alive,1/20/2023 22:07,6/19/2023 11:20:00,4.1,3,P.O.3.1060,No,
SN168,Shellmaker,Mud,Dead,7/31/2022 12:21,8/13/2022 14:20:00,6,4,S.M.4.1089,No,
SN147,Shellmaker,Mud,Dead,7/31/2022 12:21,8/13/2022 14:20:00,1.5,1,S.M.1.1086,Yes,8/12/2022 10:05:00
SN120,Shellmaker,Mud,Alive,7/31/2022 12:21,10/28/2022 23:30:00,4.4,3,S.M.3.1088,No,
SN196B,Shellmaker,Mud,Dead,7/31/2022 12:21,10/28/2022 23:30:00,2.4,2,S.M.2.1087,Yes,10/28/2022 23:30:00
SN126,Shellmaker,Mud,Alive,12/23/2022 0:08,2/18/2023 23:33,2.4,2,S.M.2.1090,No,
SN208,Shellmaker,Mud,Dead,12/23/2022 0:08,4/23/2023 13:02,3.3,2,S.M.3.1088,Yes,2/1/2023 0:00:00
SN207,Shellmaker,Mud,Alive,2/18/2023 23:33,4/23/2023 13:02,5.3,3,S.M.2.1090,No,
SN218,Shellmaker,Mud,Dead,2/18/2023 23:55,4/23/2023 13:02,2.8,1,S.M.1.1092,Yes,4/23/2023 13:02
SN208,Shellmaker,Mud,Alive,4/23/2023 13:02,6/19/2023 12:30:00,2.8,1,S.M.2.1090,No,
SN141,Shellmaker,Oyster,Dead,7/31/2022 12:19,8/14/2022 11:58:00,5.7,4,S.O.4.1083,No,
SN113,Shellmaker,Oyster,Alive,7/31/2022 12:19,10/28/2022 23:30:00,2.1,1,S.O.1.1080,Yes,10/28/2022 23:30:00
SN136,Shellmaker,Oyster,Alive,7/31/2022 12:19,10/28/2022 23:30:00,2.6,2,S.O.2.1081,Yes,8/9/2022 20:08:00
SN156,Shellmaker,Oyster,Alive,7/31/2022 12:19,10/28/2022 23:30:00,4.2,3,S.O.3.1082,Yes,10/28/2022 23:30:00
SN184,Shellmaker,Oyster,Alive,7/31/2022 12:19,1/22/2023 1:30:00,7,5,S.O.5.1084,Yes,1/22/2023 1:30:00
SN163,Shellmaker,Oyster,Alive,2/19/2023 0:05,4/23/2023 13:35,2,2,S.O.2.1093,No,
SN116,Shellmaker,Oyster,Alive,1/22/2023 1:27,6/19/2023 12:35:00,1.3,1,S.O.1.1085,No,
SN229,Shellmaker,Oyster,Alive,4/23/2023 13:35,6/19/2023 12:35:00,2,2,S.O.2.1093,No,
SN179,Shellmaker,Oyster,Alive,2/19/2023 0:05,6/19/2023 12:35:00,3.1,3,S.O.3.1094,No,
SN160,Westcliff,Eelgrass,Dead,7/15/2022 13:19,7/30/2022 14:00:00,5.5,5,W.E.5.1002,Yes,7/23/2022 12:51:00
SN107,Westcliff,Eelgrass,Dead,7/15/2022 13:19,7/30/2022 14:00:00,1.8,2,W.E.2.1006,Yes,7/20/2022 7:42:00
SN114,Westcliff,Eelgrass,Dead,7/30/2022 14:00,7/31/2022 14:00:00,5.5,5,W.E.5.1003,Yes,7/30/2022 19:07:00
SN165,Westcliff,Eelgrass,Dead,7/15/2022 13:19,8/14/2022 12:29:00,2.9,4,W.E.4.1001,No,
SN111,Westcliff,Eelgrass,Dead,7/15/2022 13:19,10/27/2022 23:30:00,7.3,6,W.E.6.1004,Yes,10/27/2022 23:30:00
SN177,Westcliff,Eelgrass,Dead,8/14/2022 12:29,10/27/2022 23:30:00,1.1,1,W.E.1.1008,Yes,10/27/2022 23:30:00
SN128,Westcliff,Eelgrass,Alive,8/14/2022 12:29,1/21/2023 1:22:00,1.9,3,W.E.3.1007,No,
SN124,Westcliff,Eelgrass,Dead,10/28/2022 0:00,5/20/2023 11:37:00,7.3,6,W.E.6.1005,Yes,5/7/2023 0:00:00
SN198,Westcliff,Eelgrass,Alive,10/28/2022 0:00,6/19/2023 11:51:00,1.1,5,W.E.5.1009,No,
SN224,Westcliff,Eelgrass,Alive,1/21/2023 1:39,6/19/2023 11:51:00,1.9,3,W.E.3.1010,No,
SN204,Westcliff,Eelgrass,Alive,2/19/2023 0:57,6/19/2023 11:51:00,2.3,3,W.E.3.1007,No,
SN167,Westcliff,Mud,Dead,7/30/2022 13:30,2022-07-30 13:35:00,2.1,1,W.M.1.1026,No,
SN123,Westcliff,Mud,Dead,7/15/2022 13:45,8/12/2022 13:07:00,7.9,5,W.M.5.1024,Yes,8/1/2022 17:05:00
SN154,Westcliff,Mud,Alive,7/15/2022 13:45,8/12/2022 13:11:00,2.2,2,W.M.2.1019,No,
SN132,Westcliff,Mud,Alive,7/15/2022 13:45,10/27/2022 1:00:00,6.8,4,W.M.4.1023,No,
SN130,Westcliff,Mud,Dead,7/15/2022 13:45,10/27/2022 1:00:00,3.4,3,W.M.3.1021,Yes,10/27/2022 1:00:00
SN188,Westcliff,Mud,Dead,8/12/2022 13:07,10/27/2022 1:00:00,7.9,5,W.M.5.1025,Yes,10/27/2022 1:00:00
SN166,Westcliff,Mud,Alive,8/12/2022 13:11,12/21/2022 22:27:00,2.2,2,W.M.2.1020,No,
SN189,Westcliff,Mud,Dead,8/12/2022 12:45,12/21/2022 22:27:00,2.1,1,W.M.1.1027,Yes,10/31/2022 10:01:00
SN140,Westcliff,Mud,Alive,12/21/2022 22:27,1/20/2023 23:36,2.2,2,W.M.2.1019,No,
SN206,Westcliff,Mud,Alive,1/20/2023 23:37,4/20/2023 12:19,4.7,5,W.M.2.1020,No,
SN214,Westcliff,Mud,Alive,1/20/2023 23:37,4/20/2023 12:38:00,4.2,4,W.M.4.1023,No,
SN192,Westcliff,Mud,Alive,10/27/2022 1:00,4/20/2023 12:58,3.4,3,W.M.3.1022,No,
SN001,Westcliff,Mud,Alive,1/20/2023 23:37,4/20/2023 13:00:00,2.2,2,W.M.2.1019,No,
SN101,Westcliff,Mud,Alive,4/20/2023 12:58,5/19/2023 13:00:00,3.4,3,W.M.3.1022,No,
SN102,Westcliff,Mud,Alive,5/19/2023 13:00:00,6/19/2023 11:37:00,3.4,3,W.M.3.1022,No,
SN173,Westcliff,Mud,Alive,12/21/2022 22:27,6/19/2023 11:37:00,2.1,1,W.M.1.1026,No,
SN244,Westcliff,Mud,Alive,5/19/2023 13:20,6/19/2023 11:37:00,2.8,2,W.M.2.1019,No,
SN183,Westcliff,Mud,Alive,4/20/2023 12:38:00,6/19/2023 11:37:00,4.2,4,W.M.4.1023,No,
SN247,Westcliff,Mud,Alive,4/20/2023 12:19,6/19/2023 11:37:00,4.7,5,W.M.2.1020,No,
SN174,Westcliff,Oyster,Alive,7/30/2022 13:00,10/27/2022 23:25,1.9,1,W.O.1.1017,No,
SN196,Westcliff,Oyster,Dead,7/15/2022 13:30,10/27/2022 23:30:00,2.1,2,W.O.2.1011,No,
SN152,Westcliff,Oyster,Dead,7/15/2022 13:30,10/27/2022 23:30:00,3.1,3,W.O.3.1013,No,
SN176,Westcliff,Oyster,Dead,7/15/2022 13:30,10/27/2022 23:30:00,8.3,5,W.O.5.1016,No,
SN140,Westcliff,Oyster,Dead,10/27/2022 23:30:00,10/27/2022 23:30:00,8.3,5,W.O.5.1016,No,
SN104,Westcliff,Oyster,Alive,7/15/2022 13:30,10/27/2022 23:30:00,4.1,4,W.O.4.1015,Yes,8/8/2022 19:04:00
SN117,Westcliff,Oyster,Dead,10/27/2022 16:25,12/21/2022 23:13:00,2.1,2,W.O.2.1012,No,
SN149,Westcliff,Oyster,Alive,10/27/2022 23:25,1/21/2023 0:22,3.1,3,W.O.3.1014,No,
SN197,Westcliff,Oyster,Dead,12/21/2022 22:57,1/21/2023 0:22,2.1,2,W.O.2.1018,No,
SN188,Westcliff,Oyster,Alive,10/27/2022 23:25,2/21/2023 1:05,1.9,1,W.O.1.1017,No,
SN147,Westcliff,Oyster,Dead,1/21/2023 0:22,2/21/2023 1:11:00,3.1,3,W.O.3.1014,No,
SN108,Westcliff,Oyster,Alive,2/21/2023 1:10,4/21/2023 12:00,0,1,W.O.1.1096,No,
SN212,Westcliff,Oyster,Dead,2/21/2023 1:10,4/21/2023 12:35,3.1,3,W.O.3.1095,Yes,4/21/2023 12:35
SN222,Westcliff,Oyster,Alive,1/21/2023 0:42,5/20/2023 10:50,2.1,2,W.O.2.1012,No,
SN185,Westcliff,Oyster,Alive,2/21/2023 1:05,6/19/2023 11:43:00,1.9,1,W.O.1.1017,No,
SN245,Westcliff,Oyster,Alive,5/20/2023 10:50,6/19/2023 11:43:00,2.1,2,W.O.2.1012,No,
SN214,Westcliff,Oyster,Alive,5/20/2023 11:04,6/19/2023 11:43:00,2.6,3,W.O.1.1096,No,
SN196,Westcliff,Oyster,Alive,4/21/2023 12:35,6/19/2023 11:43:00,3.1,3,W.O.3.1099,No,
