Site,sitecode,Treatment,treatmentcode,StartMaintUTC,EndMaintUTC
Shellmaker,S,Oyster,O,8/13/2022 14:20:00,8/13/2022 15:20
Shellmaker,S,Mud,M,8/13/2022 14:15:00,8/13/2022 15:15
PCH,P,Eelgrass,E,4/20/2023 10:32,4/20/2023 10:53
PCH,P,Oyster,O,4/20/2023 11:04,4/20/2023 11:29
PCH,P,Mud,M,4/20/2023 11:45,4/20/2023 12:04
Westcliff,W,Mud,M,4/20/2023 12:19,4/20/2023 13:09
Westcliff,W,Eelgrass,E,4/21/2023 11:20,4/21/2023 11:45
Westcliff,W,Oyster,O,4/21/2023 12:20,4/21/2023 12:50
DeAnza,D,Oyster,O,4/21/2023 13:20,4/21/2023 14:20
DeAnza,D,Eelgrass,E,4/22/2023 12:17,4/22/2023 12:37
DeAnza,D,Mud,M,4/22/2023 13:07,4/22/2023 13:29
Shellmaker,S,Mud,M,4/23/2023 13:02,4/23/2023 14:02
Shellmaker,S,Oyster,O,4/23/2023 13:24,4/23/2023 14:24
PCH,P,Eelgrass,E,5/19/2023 10:28,5/19/2023 10:56
PCH,P,Oyster,O,5/19/2023 11:30,5/19/2023 11:54
PCH,P,Mud,M,5/19/2023 12:10,5/19/2023 12:40
DeAnza,D,Mud,M,5/20/2023 12:05,5/20/2023 12:30
DeAnza,D,Oyster,O,5/20/2023 12:31,5/20/2023 12:38
DeAnza,D,Eelgrass,E,5/20/2023 13:08,5/20/2023 13:12
Westcliff,W,Mud,M,5/19/2023 12:50,5/19/2023 13:20
Westcliff,W,Oyster,O,5/20/2023 10:39,5/202/2023 11:05
Westcliff,W,Eelgrass,E,5/20/2023 11:19,5/20/2023 11:37
Shellmaker,S,Mud,M,5/21/2023 12:57,5/21/2023 13:10
Shellmaker,S,Oyster,O,5/21/2023 13:07,5/21/2023 13:30
PCH,P,Eelgrass,E,6/19/2023 11:10,6/19/2023 11:30
PCH,P,Oyster,O,6/19/2023 11:20,6/19/2023 11:40
PCH,P,Mud,M,6/19/2023 11:30,6/19/2023 11:50
DeAnza,D,Mud,M,6/19/2023 12:14,6/19/2023 12:44
DeAnza,D,Oyster,O,6/19/2023 12:14,6/19/2023 12:44
DeAnza,D,Eelgrass,E,6/19/2023 12:14,6/19/2023 12:44
Westcliff,W,Mud,M,6/19/2023 11:37,6/19/2023 12:00
Westcliff,W,Oyster,O,6/19/2023 11:43,6/19/2023 12:03
Westcliff,W,Eelgrass,E,6/19/2023 11:51,6/19/2023 12:20
Shellmaker,S,Mud,M,6/19/2023 12:30,6/19/2023 12:50
Shellmaker,S,Oyster,O,6/19/2023 12:30,6/19/2023 12:50
