Date,SN,Length_mm,Width_mm,Notes,Alive,Code,Site,Treatment
2022-10-27,155,42,27,Post-deployment,dead,D.E.4.1033,DeAnza,Eelgrass
2022-10-27,127,31,23,Post-deployment,dead,D.O.4.1040,DeAnza,Oyster
2022-10-27,142,35,30,Post-deployment,dead,D.M.1.1050,DeAnza,Mud
2022-10-27,191,46,29,Post-deployment,dead,D.O.5.1038,DeAnza,Oyster
2022-10-27,150,38,25,Post-deployment,dead,D.E.2.1028,DeAnza,Eelgrass
2022-10-27,174,35,21,Post-deployment,,W.O.1.1017,Westcliff,Oyster
2022-10-27,128,34,22,Post-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2022-10-25,190,35,24,Post-deployment,Alive,D.O.4.1040,DeAnza,Oyster
2022-10-26,121,31,19,Post-deployment,Alive,P.O.1.1058,PCH,Oyster
2022-10-26,157,26,21,Post-deployment,Alive,P.O.5.1063,PCH,Oyster
2022-10-26,166,39,22,Post-deployment,Alive,W.M.2.1020,Westcliff,Mud
2022-10-26,189,31,23,Post-deployment,Alive,W.M.1.1027,Westcliff,Mud
2022-10-31,120,39,25,Post-deployment,Alive,S.M.3.1088,Shellmaker,Mud
2022-12-20,140,40,33,Re-deployment,Alive,W.O.5.1016,Westcliff,Oyster
2022-12-20,173,37,26,Re-deployment,Alive,W.O.2.1011,Westcliff,Oyster
2022-12-20,208,38,25,Re-deployment,Alive,S.M.3.1088,Shellmaker,Mud
2022-12-20,174,38,24,Pre-deployment,Alive,P.O.2.1066,PCH,Oyster
2022-12-20,197,38,24,Pre-deployment,Alive,W.O.2.1018,Westcliff,Oyster
2022-12-20,202,38,24,Pre-deployment,Alive,P.O.5.1065,PCH,Oyster
2022-12-20,205,27,21,Pre-deployment,Alive,P.E.1.1078,PCH,Eelgrass
2022-12-20,126,21,19,Pre-deployment,Alive,S.M.2.1090,Shellmaker,Mud
2022-12-20,209,26,26,Re-deployment,Alive,P.M.1.1067,PCH,Mud
2022-12-20,131,40,22,Re-deployment,Alive,P.M.4.1068,PCH,Mud
2022-12-21,137,38,26,Post-deployment,Dead,P.E.1.1073,PCH,Eelgrass
2022-12-21,189,26,23,Post-deployment,Dead,W.M.1.1027,Westcliff,Mud
2022-12-21,116,29,29,Post-deployment,Dead,P.E.4.1077,PCH,Eelgrass
2022-12-21,147,28,24,Post-deployment,Dead,P.O.2.1061,PCH,Oyster
2022-12-21,185,38,26,Post-deployment,Dead,P.E.5.1076,PCH,Eelgrass
2022-12-21,192,32,25,Mid-deployment,Alive,W.M.3.1022,Westcliff,Mud
2022-12-21,188,36,25,Mid-deployment,Alive,W.O.1.1017,Westcliff,Oyster
2022-12-21,117,37,38,Post-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2022-12-21,149,23,17,Mid-deployment,Alive,W.O.3.1014,Westcliff,Oyster
2022-12-21,128,35,24,Mid-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2022-12-21,198,47,26,Mid-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2022-12-21,124,26,25,Mid-deployment,Alive,W.E.6.1005,Westcliff,Eelgrass
2022-12-22,121,30,19,Post-deployment,Alive,P.O.1.1058,PCH,Oyster
2022-12-22,166,31,26,Post-deployment,Alive,W.M.2.1020,Westcliff,Mud
2022-12-22,200,35,24,Post-deployment,Alive,P.O.5.1063,PCH,Oyster
2023-01-19,222,34,38,Pre-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2023-01-19,228,29,23,Pre-deployment,Alive,D.M.6.1056,DeAnza,Mud
2023-01-19,221,21,12,Pre-deployment,Alive,D.O.3.1044,DeAnza,Oyster
2023-01-19,116,25,26,Pre-deployment,Alive,S.O.1.1085,Shellmaker,Oyster
2023-01-19,110,46,25,Pre-deployment,Alive,P.E.3.1079,PCH,Eelgrass
2023-01-19,224,40,25,Pre-deployment,Alive,W.E.3.1010,Westcliff,Eelgrass
2023-01-19,227,32,31,Re-deployment,Alive,P.O.3.1060,PCH,Oyster
2023-01-19,206,38,29,Re-deployment,Alive,W.M.5.1020,Westcliff,Mud
2023-01-19,161,36,28,Re-deployment,Alive,D.M.2.1047,DeAnza,Mud
2023-01-19,214,34,25,Re-deployment,Alive,W.M.4.1023,Westcliff,Mud
2023-01-20,205,27,32,Mid-deployment,Alive,P.E.1.1078,PCH,Eelgrass
2023-01-20,122,33,26,Post-deployment,Dead,P.E.3.1075,PCH,Eelgrass
2023-01-20,137,29,20,Mid-deployment,Alive,P.E.2.1074,PCH,Eelgrass
2023-01-20,202,35,25,Mid-deployment,Alive,P.O.5.1065,PCH,Oyster
2023-01-20,219,29,21,Mid-deployment,Alive,P.O.1.1064,PCH,Oyster
2023-01-20,174,37,22,Mid-deployment,Alive,P.O.2.1066,PCH,Oyster
2023-01-20,197,38,24,Mid-deployment,Alive,P.M.2.1072,PCH,Mud
2023-01-20,209,26,27,Mid-deployment,Alive,P.M.1.1067,PCH,Mud
2023-01-20,131,42,25,Mid-deployment,Alive,P.M.4.1068,PCH,Mud
2023-01-20,173,37,24,Mid-deployment,Alive,W.M.1.1026,Westcliff,Mud
2023-01-20,140,38,31,Mid-deployment,Alive,W.M.2.1019,Westcliff,Mud
2023-01-20,192,30,22,Mid-deployment,Alive,W.M.3.1022,Westcliff,Mud
2023-01-20,197,30,25,Mid-deployment,Alive,W.O.2.1018,Westcliff,Oyster
2023-01-20,188,21,17,Mid-deployment,Alive,W.O.1.1017,Westcliff,Oyster
2023-01-20,149,21,17,Mid-deployment,Alive,W.O.3.1014,Westcliff,Oyster
2023-01-20,198,46,25,Mid-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2023-01-20,124,24,23,Mid-deployment,Alive,W.E.6.1005,Westcliff,Eelgrass
2023-01-20,128,34,23,Mid-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2023-01-21,155,36,30,Mid-deployment,Alive,D.E.4.1033,DeAnza,Eelgrass
2023-01-21,175,34,24,Post-deployment,Alive,D.E.3.1036,DeAnza,Eelgrass
2023-01-21,211,26,19,Mid-deployment,Alive,D.E.1.1035,DeAnza,Eelgrass
2023-01-21,151,24,19,Mid-deployment,Alive,D.O.1.1042,DeAnza,Oyster
2023-01-21,189,22,14,Post-deployment,Alive,D.O.3.1043,DeAnza,Oyster
2023-01-21,195,34,26,Mid-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2023-01-21,146,35,26,Mid-deployment,Alive,D.O.4.1040,DeAnza,Oyster
2023-01-21,135,24,20,Post-deployment,Alive,D.M.6.1054,DeAnza,Mud
2023-01-21,208,40,27,Mid-deployment,Alive,S.M.3.1088,Shellmaker,Mud
2023-01-21,126,25,20,Mid-deployment,Alive,S.M.2.1090,Shellmaker,Mud
2023-02-17,189,38,37,Pre-deployment,Alive,DM.1.1091,DeAnza,Mud
2023-02-17,204,30,23,Mid-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2023-02-17,108,31,23,Pre-deployment,Alive,W.O.1.1096,Westcliff,Oyster
2023-02-17,163,21,19,Pre-deployment,Alive,S.O.2.1093,Shellmaker,Oyster
2023-02-17,215,34,24,Mid-deployment,Alive,D.E.3.1036,DeAnza,Eelgrass
2023-02-17,218,38,25,Pre-deployment,Alive,S.M.1.1092,Shellmaker,Mud
2023-02-17,157,36,34,Pre-deployment,Alive,D.E.3.1030,DeAnza,Eelgrass
2023-02-17,212,40,25,Pre-deployment,Alive,W.O.3.1095,Westcliff,Oyster
2023-02-17,179,30,23,Pre-deployment,Alive,S.O.3.1094,Shellmaker,Oyster
2023-02-18,126,24,20,Mid-deployment,Alive,S.M.2.1090,Shellmaker,Mud
2023-02-18,208,32,28,Mid-deployment,Alive,S.M.3.1088,Shellmaker,Mud
2023-02-18,116,28,24,Mid-deployment,Alive,S.O.1.1085,Shellmaker,Oyster
2023-02-18,175,27,22,Mid-deployment,Alive,D.E.3.1036,DeAnza,Eelgrass
2023-02-18,223,36,28,Mid-deployment,Alive,D.E.4.1033,DeAnza,Eelgrass
2023-02-18,225,28,22,Mid-deployment,Alive,D.O.4.1040,DeAnza,Oyster
2023-02-18,151,22,17,Mid-deployment,Alive,D.O.1.1042,DeAnza,Oyster
2023-02-18,195,35,31,Mid-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2023-02-18,221,22,16,Mid-deployment,Alive,D.O.3.1044,DeAnza,Oyster
2023-02-18,161,36,22,Mid-deployment,Alive,D.M.2.1047,DeAnza,Mud
2023-02-18,228,29,22,Mid-deployment,Alive,D.M.6.1056,DeAnza,Mud
2023-02-20,205,28,26,Mid-deployment,Alive,P.E.1.1078,PCH,Eelgrass
2023-02-20,122,32,22,Mid-deployment,Alive,P.E.2.1074,PCH,Eelgrass
2023-02-20,110,42,25,Mid-deployment,Alive,P.E.3.1079,PCH,Eelgrass
2023-02-20,219,27,23,Mid-deployment,Alive,P.O.1.1064,PCH,Oyster
2023-02-20,174,37,28,Mid-deployment,Alive,P.O.2.1066,PCH,Oyster
2023-02-20,227,35,33,Mid-deployment,Alive,P.O.3.1060,PCH,Oyster
2023-02-20,202,41,26,Mid-deployment,Alive,P.O.5.1065,PCH,Oyster
2023-02-20,209,26,22,Mid-deployment,Alive,P.M.1.1067,PCH,Mud
2023-02-20,197,36,24,Mid-deployment,Alive,P.M.2.1072,PCH,Mud
2023-02-20,226,41,20,Mid-deployment,Alive,P.M.4.1068,PCH,Mud
2023-02-20,173,40,27,Mid-deployment,Alive,W.M.1.1026,Westcliff,Mud
2023-02-20,101,42,32,Mid-deployment,Alive,W.M.2.1019,Westcliff,Mud
2023-02-20,192,31,24,Mid-deployment,Alive,W.M.3.1022,Westcliff,Mud
2023-02-20,214,34,21,Mid-deployment,Alive,W.M.4.1023,Westcliff,Mud
2023-02-20,206,34,24,Mid-deployment,Alive,W.M.5.1020,Westcliff,Mud
2023-02-20,188,39,22,Mid-deployment,Alive,W.O.1.1017,Westcliff,Oyster
2023-02-20,222,32,34,Mid-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2023-02-20,147,22,19,Mid-deployment,Alive,W.O.3.1014,Westcliff,Oyster
2023-02-20,198,46,28,Mid-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2023-02-20,124,26,22,Mid-deployment,Alive,W.E.6.1005,Westcliff,Eelgrass
2023-02-20,224,37,27,Mid-deployment,Alive,W.E.3.1010,Westcliff,Eelgrass
2022-12-22,166,31,26,Post-deployment,Alive,W.M.2.1020,Westcliff,Mud
2023-01-19,206,38,29,Re-deployment,Alive,W.M.5.1020,Westcliff,Mud
2023-01-20,140,38,31,Mid-deployment,Alive,W.M.2.1020,Westcliff,Mud
2023-02-20,206,34,24,Mid-deployment,Alive,W.M.5.1020,Westcliff,Mud
2022-10-26,166,39,22,Post-deployment,Alive,W.M.2.1020,Westcliff,Mud
2023-02-20,101,42,32,Mid-deployment,Alive,W.M.2.1020,Westcliff,Mud
2023-04-19,203,29,19,Pre-deployment,Alive,P.M.4.1068,PCH,Mud
2023-04-19,158,33,22,Pre-deployment,Alive,P.M.2.1098,PCH,Mud
2023-04-19,188,31,24,Pre-deployment,Alive,D.O.1.1100,DeAnza,Oyster
2023-04-19,196,26,18,Pre-deployment,Alive,W.O.3.1099,Westcliff,Oyster
2023-04-20,110,45,26,Mid-deployment,Alive,P.E.3.1079,PCH,Eelgrass
2023-04-20,122,32,22,Mid-deployment,Alive,P.E.2.1074,PCH,Eelgrass
2023-04-20,123,34,28,Mid-deployment,Alive,P.E.1.1078,PCH,Eelgrass
2023-04-20,202,42,28,Mid-deployment,Alive,P.O.5.1065,PCH,Oyster
2023-04-20,227,30,34,Mid-deployment,Alive,P.O.3.1060,PCH,Oyster
2023-04-20,174,35,24,Mid-deployment,Alive,P.O.2.1066,PCH,Oyster
2023-04-20,219,24,21,Mid-deployment,Alive,P.O.1.1064,PCH,Oyster
2023-04-20,183,26,23,Post-deployment,Dead,P.M.1.1067,PCH,Mud
2023-04-20,126,38,25,Post-deployment,Dead,P.M.2.1072,PCH,Mud
2023-04-20,226,41,24,Mid-deployment,Alive,P.M.4.1068,PCH,Mud
2023-04-20,206,35,25,Mid-deployment,Alive,W.M.5.1020,Westcliff,Mud
2023-04-20,214,29,26,Mid-deployment,Alive,W.M.4.1023,Westcliff,Mud
2023-04-20,192,31,24,Mid-deployment,Alive,W.M.2.1022,Westcliff,Mud
2023-04-20,1,38,32,Post-deployment,Alive,W.M.2.1019,Westcliff,Mud
2023-04-20,173,35,27,Mid-deployment,Alive,W.M.1.1026,Westcliff,Mud
2023-04-21,204,38,23,Mid-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2023-04-21,224,40,26,Mid-deployment,Alive,W.E.3.1010,Westcliff,Eelgrass
2023-04-21,198,49,29,Mid-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2023-04-21,124,24,24,Mid-deployment,Alive,W.E.6.1005,Westcliff,Eelgrass
2023-04-21,108,31,23,Post-deployment,Alive,W.O.1.1096,Westcliff,Oyster
2023-04-21,185,36,21,Mid-deployment,Alive,W.O.1.1017,Westcliff,Oyster
2023-04-21,222,38,34,Mid-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2023-04-21,212,40,25,Post-deployment,Dead,W.O.3.1095,Westcliff,Oyster
2023-04-21,221,21,20,Post-deployment,Dead,D.O.3.1044,DeAnza,Oyster
2023-04-21,195,38,32,Mid-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2023-04-21,151,32,25,Post-deployment,Dead,D.O.1.1042,DeAnza,Oyster
2023-04-22,215,31,25,Post-deployment,Alive,D.E.3.1036,DeAnza,Eelgrass
2023-04-22,157,36,35,Mid-deployment,Alive,D.E.3.1030,DeAnza,Eelgrass
2023-04-22,223,34,30,Post-deployment,Alive,D.E.4.1033,DeAnza,Eelgrass
2023-04-22,161,34,29,Mid-deployment,Alive,D.M.2.1047,DeAnza,Mud
2023-04-22,129,30,22,Mid-deployment,Alive,D.M.6.1056,DeAnza,Mud
2023-04-22,189,40,38,Mid-deployment,Alive,D.M.1.1091,DeAnza,Mud
2023-04-23,208,32,30,Post-deployment,Dead,S.M.3.1088,Shellmaker,Mud
2023-04-23,218,39,26,Post-deployment,Dead,S.M.1.1092,Shellmaker,Mud
2023-04-23,207,27,22,Mid-deployment,Alive,S.M.2.1090,Shellmaker,Mud
2023-04-23,116,38,26,Mid-deployment,Alive,S.O.1.1085,Shellmaker,Oyster
2023-04-23,163,24,21,Mid-deployment,Alive,S.O.2.1093,Shellmaker,Oyster
2023-04-23,179,37,21,Mid-deployment,Alive,S.O.3.1094,Shellmaker,Oyster
2023-05-16,230,36,31,Mid-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2023-05-16,241,37,33,Mid-deployment,Alive,D.E.4.1033,DeAnza,Eelgrass
2023-05-16,244,39,32,Mid-deployment,Alive,W.M.2.1019,Westcliff,Mud
2023-05-16,214,32,24,Mid-deployment,Alive,W.O.1.1096,Westcliff,Oyster
2023-05-16,242,32,24,Pre-deployment,Alive,D.M.1.1102,DeAnza,Mud
2023-05-19,123,30,28,Mid-deployment,Alive,P.E.1.1078,PCH,Eelgrass
2023-05-19,122,32,22,Mid-deployment,Alive,P.E.2.1074,PCH,Eelgrass
2023-05-19,110,45,27,Mid-deployment,Alive,P.E.3.1079,PCH,Eelgrass
2023-05-19,219,26,24,Post-deployment,Alive,P.O.1.1064,PCH,Oyster
2023-05-19,186,36,23,Mid-deployment,Alive,P.O.2.1066,PCH,Oyster
2023-05-19,227,38,29,Mid-deployment,Alive,P.O.3.1060,PCH,Oyster
2023-05-19,202,38,29,Mid-deployment,Alive,P.O.5.1065,PCH,Oyster
2023-05-19,226,42,22,Mid-deployment,Alive,P.M.4.1068,PCH,Mud
2023-05-19,158,33,22,Mid-deployment,Alive,P.M.2.1098,PCH,Mud
2023-05-19,203,25,18,Mid-deployment,Alive,P.M.1.1097,PCH,Mud
2023-05-19,173,37,28,Mid-deployment,Alive,W.M.1.1026,Westcliff,Mud
2023-05-19,101,32,25,Mid-deployment,Alive,W.M.3.1022,Westcliff,Mud
2023-05-19,183,38,28,Mid-deployment,Alive,W.M.4.1023,Westcliff,Mud
2023-05-19,231,32,26,Mid-deployment,Alive,W.M.5.1020,Westcliff,Mud
2023-05-20,185,35,28,Mid-deployment,Alive,W.O.1.1017,Westcliff,Oyster
2023-05-20,222,35,36,Mid-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2023-05-20,196,35,19,Mid-deployment,Alive,W.O.3.1099,Westcliff,Oyster
2023-05-20,198,48,31,Mid-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2023-05-20,224,43,26,Mid-deployment,Alive,W.E.3.1010,Westcliff,Eelgrass
2023-05-20,204,34,22,Mid-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2023-05-20,124,24,23,Post-deployment,Dead,W.E.6.1005,Westcliff,Eelgrass
2023-05-20,161,36,27,Post-deployment,Alive,D.M.2.1047,DeAnza,Mud
2023-05-20,128,30,20,Mid-deployment,Alive,D.M.6.1056,DeAnza,Mud
2023-05-20,189,39,27,Post-deployment,Dead,D.M.1.1091,DeAnza,Mud
2023-05-20,188,30,24,Mid-deployment,Alive,D.O.1.1100,DeAnza,Oyster
2023-05-20,195,37,34,Mid-deployment,Alive,D.E.3.1030,DeAnza,Eelgrass
2023-05-21,208,29,22,Mid-deployment,Alive,S.M.2.1090,Shellmaker,Mud
2023-05-21,179,29,23,Mid-deployment,Alive,S.O.3.1094,Shellmaker,Oyster
2023-05-21,229,30,21,Mid-deployment,Alive,S.O.2.1093,Shellmaker,Oyster
2023-05-21,116,24,24,Mid-deployment,Alive,S.O.1.1085,Shellmaker,Oyster
2023-06-19,245,35,37,Post-deployment,Alive,W.O.2.1012,Westcliff,Oyster
2023-06-19,196,33,23,Post-deployment,Alive,W.O.3.1099,Westcliff,Oyster
2023-06-19,214,33,25,Post-deployment,Alive,W.O.1.1096,Westcliff,Oyster
2023-06-19,185,34,24,Post-deployment,Alive,W.O.1.1017,Westcliff,Oyster
2023-06-19,102,28,24,Post-deployment,Alive,W.M.3.1022,Westcliff,Mud
2023-06-19,173,37,27,Post-deployment,Alive,W.M.1.1026,Westcliff,Mud
2023-06-19,247,34,23,Post-deployment,Alive,W.M.5.1020,Westcliff,Mud
2023-06-19,183,40,28,Post-deployment,Alive,W.M.4.1023,Westcliff,Mud
2023-06-19,244,39,32,Post-deployment,Alive,W.M.2.1019,Westcliff,Mud
2023-06-19,224,43,26,Post-deployment,Alive,W.E.3.1010,Westcliff,Eelgrass
2023-06-19,204,36,24,Post-deployment,Alive,W.E.3.1007,Westcliff,Eelgrass
2023-06-19,198,49,30,Post-deployment,Alive,W.E.5.1009,Westcliff,Eelgrass
2023-06-19,188,30,24,Post-deployment,Alive,D.O.1.1100,DeAnza,Oyster
2023-06-19,230,35,33,Post-deployment,Alive,D.O.2.1037,DeAnza,Oyster
2023-06-19,242,30,25,Post-deployment,Alive,D.M.1.1102,DeAnza,Mud
2023-06-19,124,28,21,Post-deployment,Alive,D.M.6.1056,DeAnza,Mud
2023-06-19,243,37,37,Post-deployment,Alive,D.E.3.1030,DeAnza,Eelgrass
2023-06-19,241,36,30,Post-deployment,Alive,D.E.4.1033,DeAnza,Eelgrass
2023-06-19,229,30,18,Post-deployment,Alive,S.O.2.1093,Shellmaker,Oyster
2023-06-19,116,25,23,Post-deployment,Alive,S.O.1.1085,Shellmaker,Oyster
2023-06-19,179,29,23,Post-deployment,Alive,S.O.3.1094,Shellmaker,Oyster
2023-06-19,208,27,24,Post-deployment,Alive,S.M.2.1090,Shellmaker,Mud
2023-06-19,219,26,20,Post-deployment,Alive,P.M.1.1097,PCH,Mud
2023-06-19,226,40,22,Post-deployment,Alive,P.M.4.1068,PCH,Mud
2023-06-19,158,34,22,Post-deployment,Alive,P.M.2.1098,PCH,Mud
2023-06-19,202,45,29,Post-deployment,Alive,P.O.5.1065,PCH,Oyster
2023-06-19,227,36,38,Post-deployment,Alive,P.O.3.1060,PCH,Oyster
2023-06-19,103,35,23,Post-deployment,Dead,P.O.2.1066,PCH,Oyster
2023-06-19,110,40,27,Post-deployment,Alive,P.E.3.1079,PCH,Eelgrass
2023-06-19,122,36,22,Post-deployment,Alive,P.E.2.1074,PCH,Eelgrass
2023-06-19,123,31,35,Post-deployment,Alive,P.E.1.1078,PCH,Eelgrass
